Case#,name,fe1,fe2,fe3,fe4,fe5,fe6,fe7,fe8,fe9,fe10,fe11,fe12,fe13,fe14,fe15,fe16,fe17,fe18,fe19,fe20,fe21,fe22,fe23,fe24,fe25,fe26,fe27,fe28,fe29,fe30,fe31,fe32,fe33,fe34,fe35,fe36,fe37,fe38,fe39,fe40,fe41,fe42,fe43,fe44,fe45,fe46,fe47,fe48,fe49,fe50,fe51,fe52,fe53,fe54,fe55,fe56,fe57,fe58,fe59,fe60,fe61,fe62,fe63,fe64,fe65,fe66,fe67,fe68,fe69,fe70,fe71,fe72,fe73,fe74,fe75,fe76,fe77,fe78,fe79,fe80,fe81,fe82,fe83,fe84,fe85,fe86,fe87,fe88,fe89,fe90,fe91,fe92,fe93,fe94,fe95,fe96,fe97,fe98,fe99,fe100,fe101,fe102,fe103,fe104,fe105,fe106,fe107,fe108,fe109,fe110,fe111,fe112,fe113,fe114,fe115,fe116,fe117,fe118,fe119,fe120,fe121,fe122,fe123,fe124,fe125,fe126,fe127,fe128
1,Amandla Sternburg,-0.06233619526028633,0.05256366357207298,0.10008658468723297,-0.11949153989553452,-0.13972681760787964,-0.1016748771071434,-0.07795042544603348,-0.11568722873926163,0.1910221129655838,-0.13288487493991852,0.20162364840507507,-0.06761768460273743,-0.13493956625461578,0.007290145382285118,-0.07235953956842422,0.19917407631874084,-0.1534387618303299,-0.17006464302539825,-0.043098971247673035,-0.0030067414045333862,0.0290584284812212,0.04382835328578949,0.051338713616132736,0.11495061218738556,-0.19515305757522583,-0.38474902510643005,-0.08780716359615326,-0.02957773581147194,-0.08895629644393921,-0.00790228508412838,0.016682984307408333,0.25719329714775085,-0.20830389857292175,0.014620776288211346,0.03571484237909317,0.09775969386100769,0.055102214217185974,0.012621448375284672,0.10633651167154312,0.056146055459976196,-0.31491708755493164,-0.0034617106430232525,0.13892608880996704,0.22174060344696045,0.13500657677650452,0.018404711037874222,0.07693099975585938,-0.10753379762172699,0.02723720856010914,-0.1864030361175537,0.07664301991462708,0.13593177497386932,0.10830952972173691,0.026478592306375504,0.07459811866283417,-0.15839502215385437,0.024473529309034348,0.0997849851846695,-0.0811011791229248,0.017990130931138992,0.04199257865548134,0.01442752219736576,-0.008588787168264389,-0.1030985489487648,0.2266887128353119,0.1275235116481781,-0.10728970915079117,-0.0675218477845192,0.1409013420343399,-0.11439310014247894,-0.13739193975925446,0.026808589696884155,-0.17273196578025818,-0.16108323633670807,-0.360510915517807,-0.07313209772109985,0.3748326599597931,0.10872438549995422,-0.21110880374908447,0.09363807737827301,-0.015225608833134174,-0.001673322170972824,-0.026877744123339653,0.1861146092414856,-0.12624722719192505,0.12199166417121887,-0.012812985107302666,0.06735438108444214,0.19965633749961853,0.015852417796850204,0.005667159333825111,0.24897579848766327,0.010319522581994534,0.052207447588443756,-0.00962204858660698,-0.010999375954270363,-0.0538954958319664,-0.012632636353373528,-0.16544921696186066,-0.03761592507362366,-0.04254251718521118,0.03300374001264572,-0.06605344265699387,0.14468196034431458,-0.27708131074905396,0.14705193042755127,0.014763010665774345,-0.039887528866529465,-0.004799417685717344,0.17850889265537262,0.006907964125275612,-0.11917447298765182,0.08062192052602768,-0.16705754399299622,0.09128238260746002,0.18410354852676392,0.047944799065589905,0.14631175994873047,0.0777410939335823,0.08712010830640793,0.007946721278131008,-0.013164302334189415,-0.11490421742200851,-0.004787452053278685,0.12394069880247116,-0.1336500346660614,0.03475768119096756,0.07589290291070938
2,Amandla Sternburg,-0.06233619526028633,0.05256366357207298,0.10008658468723297,-0.11949153989553452,-0.13972681760787964,-0.1016748771071434,-0.07795042544603348,-0.11568722873926163,0.1910221129655838,-0.13288487493991852,0.20162364840507507,-0.06761768460273743,-0.13493956625461578,0.007290145382285118,-0.07235953956842422,0.19917407631874084,-0.1534387618303299,-0.17006464302539825,-0.043098971247673035,-0.0030067414045333862,0.0290584284812212,0.04382835328578949,0.051338713616132736,0.11495061218738556,-0.19515305757522583,-0.38474902510643005,-0.08780716359615326,-0.02957773581147194,-0.08895629644393921,-0.00790228508412838,0.016682984307408333,0.25719329714775085,-0.20830389857292175,0.014620776288211346,0.03571484237909317,0.09775969386100769,0.055102214217185974,0.012621448375284672,0.10633651167154312,0.056146055459976196,-0.31491708755493164,-0.0034617106430232525,0.13892608880996704,0.22174060344696045,0.13500657677650452,0.018404711037874222,0.07693099975585938,-0.10753379762172699,0.02723720856010914,-0.1864030361175537,0.07664301991462708,0.13593177497386932,0.10830952972173691,0.026478592306375504,0.07459811866283417,-0.15839502215385437,0.024473529309034348,0.0997849851846695,-0.0811011791229248,0.017990130931138992,0.04199257865548134,0.01442752219736576,-0.008588787168264389,-0.1030985489487648,0.2266887128353119,0.1275235116481781,-0.10728970915079117,-0.0675218477845192,0.1409013420343399,-0.11439310014247894,-0.13739193975925446,0.026808589696884155,-0.17273196578025818,-0.16108323633670807,-0.360510915517807,-0.07313209772109985,0.3748326599597931,0.10872438549995422,-0.21110880374908447,0.09363807737827301,-0.015225608833134174,-0.001673322170972824,-0.026877744123339653,0.1861146092414856,-0.12624722719192505,0.12199166417121887,-0.012812985107302666,0.06735438108444214,0.19965633749961853,0.015852417796850204,0.005667159333825111,0.24897579848766327,0.010319522581994534,0.052207447588443756,-0.00962204858660698,-0.010999375954270363,-0.0538954958319664,-0.012632636353373528,-0.16544921696186066,-0.03761592507362366,-0.04254251718521118,0.03300374001264572,-0.06605344265699387,0.14468196034431458,-0.27708131074905396,0.14705193042755127,0.014763010665774345,-0.039887528866529465,-0.004799417685717344,0.17850889265537262,0.006907964125275612,-0.11917447298765182,0.08062192052602768,-0.16705754399299622,0.09128238260746002,0.18410354852676392,0.047944799065589905,0.14631175994873047,0.0777410939335823,0.08712010830640793,0.007946721278131008,-0.013164302334189415,-0.11490421742200851,-0.004787452053278685,0.12394069880247116,-0.1336500346660614,0.03475768119096756,0.07589290291070938
3,Amandla Sternburg,-0.0632232278585434,-0.03847602382302284,0.10176640748977661,-0.07911816984415054,-0.16418485343456268,-0.09228886663913727,-0.06558183580636978,-0.06786039471626282,0.13111384212970734,-0.08438161015510559,0.18392415344715118,-0.052297547459602356,-0.1567050665616989,-0.036371808499097824,-0.03606807440519333,0.20766060054302216,-0.13662125170230865,-0.15097776055335999,0.0023903697729110718,-0.0011933408677577972,0.005637436173856258,0.01175172533839941,0.002394996816292405,0.11926141381263733,-0.15352563560009003,-0.317435622215271,-0.06643833220005035,-0.06010112911462784,-0.10124808549880981,-0.004534114617854357,-0.0669182613492012,0.20223389565944672,-0.20864076912403107,-0.038205087184906006,0.04369710385799408,0.13235515356063843,0.041825421154499054,-0.04372541606426239,0.08926870673894882,0.09780451655387878,-0.26800161600112915,-0.024619292467832565,0.06551630049943924,0.18608219921588898,0.14223931729793549,0.04922981187701225,0.061608780175447464,-0.10394369065761566,0.05705728381872177,-0.2260262817144394,0.05922456085681915,0.13076069951057434,0.10152553766965866,-0.012193595990538597,-0.005472538061439991,-0.19689534604549408,0.01768042892217636,0.12596449255943298,-0.12133415788412094,-0.006031223572790623,-0.007177739404141903,0.010952180251479149,0.013918738812208176,-0.10943271964788437,0.29117193818092346,0.16571968793869019,-0.09367507696151733,-0.08593980222940445,0.16437393426895142,-0.09150248765945435,-0.15606126189231873,0.0039388276636600494,-0.18221263587474823,-0.15350103378295898,-0.3510103225708008,-0.02565956860780716,0.35824981331825256,0.07603562623262405,-0.23148000240325928,0.05600208789110184,-0.1029077023267746,0.02207288332283497,0.007775265257805586,0.15031547844409943,-0.05727118253707886,0.0794639140367508,-0.04788701981306076,-0.03543633967638016,0.21823307871818542,-0.028426190838217735,0.015523366630077362,0.1899515688419342,0.002459995448589325,0.05825730785727501,0.014926447533071041,-0.042859356850385666,-0.04761987924575806,0.01636631041765213,-0.16027569770812988,-0.09458434581756592,-0.024115437641739845,0.012584829702973366,-0.013932859525084496,0.1684207320213318,-0.2777504622936249,0.07508625090122223,0.0009568671230226755,-0.06783252209424973,0.013977918773889542,0.07884061336517334,-0.040721941739320755,-0.11798293888568878,0.10537900030612946,-0.17558129131793976,0.13976837694644928,0.18504150211811066,0.06486311554908752,0.14528906345367432,0.09493404626846313,0.09271851181983948,-0.03120504319667816,-0.032640933990478516,-0.1352093517780304,0.025838032364845276,0.15092682838439941,-0.0892953872680664,0.03554336354136467,0.0648321658372879
4,Amandla Sternburg,-0.09861007332801819,0.05620943754911423,0.1360030323266983,-0.11863339692354202,-0.17205031216144562,-0.0559438019990921,-0.08401593565940857,-0.07294361293315887,0.1355830281972885,-0.07378958910703659,0.25642579793930054,-0.07983075827360153,-0.1840522736310959,-0.07866445928812027,-0.11293281614780426,0.2500048279762268,-0.23641620576381683,-0.14300747215747833,0.07392065972089767,-0.0002998197451233864,0.06961056590080261,-0.001303389435634017,0.00848342850804329,0.08802218735218048,-0.1720886528491974,-0.39473217725753784,-0.06798949092626572,-0.014136334881186485,-0.07567635178565979,-0.03884695842862129,-0.03971068188548088,0.21879732608795166,-0.2240835577249527,-0.014025535434484482,-0.012501560151576996,0.128313347697258,0.04047999531030655,-0.05418935418128967,0.1193346306681633,0.10219788551330566,-0.28187400102615356,-0.002611663658171892,0.10044259577989578,0.25232580304145813,0.1685277670621872,0.030947817489504814,0.04463811218738556,-0.036558281630277634,0.0836109071969986,-0.24170102179050446,0.026066213846206665,0.18086406588554382,0.1065966859459877,-0.02062378264963627,-0.040296632796525955,-0.10586991906166077,-0.021827273070812225,0.14307239651679993,-0.1196024939417839,-0.02177286148071289,0.03310369700193405,-0.05658890679478645,0.027624569833278656,-0.14838598668575287,0.24037793278694153,0.1497427523136139,-0.1022651195526123,-0.085640549659729,0.15435540676116943,-0.08972970396280289,-0.1707819551229477,-0.011890330351889133,-0.16710373759269714,-0.12508386373519897,-0.38474124670028687,-0.03509411960840225,0.3490099310874939,0.07658588141202927,-0.2014603167772293,0.0399763360619545,-0.08841131627559662,0.0037744990549981594,-0.0019294826779514551,0.15962611138820648,-0.06062314659357071,0.0958937555551529,-0.0952630564570427,-0.04969271272420883,0.23969894647598267,-0.01904509961605072,0.0115443030372262,0.24665045738220215,0.020581211894750595,0.060907959938049316,0.015286106616258621,-0.009800152853131294,-0.07216860353946686,-0.007162060588598251,-0.16208672523498535,-0.0867563784122467,-0.061304643750190735,-0.04555649682879448,-0.055405981838703156,0.17236368358135223,-0.28881001472473145,0.11206881701946259,0.0069047510623931885,-0.018723679706454277,0.01180008240044117,0.07865400612354279,-0.02731683850288391,-0.11957652121782303,0.10333716124296188,-0.15916649997234344,0.09056061506271362,0.2106958031654358,0.061325617134571075,0.14705269038677216,0.14301007986068726,0.09367134422063828,-0.07181492447853088,-0.059863828122615814,-0.09476091712713242,-0.03773881122469902,0.12168312817811966,-0.1009717732667923,0.06514526903629303,0.053635373711586
5,Amandla Sternburg,-0.054156191647052765,0.04466548189520836,0.13483284413814545,-0.10819902271032333,-0.16003085672855377,-0.04325462505221367,-0.09980296343564987,-0.05070469528436661,0.16889673471450806,-0.14732882380485535,0.22927385568618774,-0.08682788908481598,-0.13427717983722687,-0.014250335283577442,-0.07133230566978455,0.2270788848400116,-0.19061808288097382,-0.18796385824680328,-0.03222914785146713,-0.07940518856048584,0.011362931691110134,0.09743499010801315,0.03823457285761833,0.08857613056898117,-0.1654929220676422,-0.3647550046443939,-0.06518261134624481,-0.053984031081199646,-0.03441920876502991,-0.051327917724847794,-0.010850836522877216,0.233613520860672,-0.26289743185043335,0.006557437591254711,0.03164142370223999,0.14205682277679443,0.03958018124103546,-0.013044092804193497,0.10557935386896133,0.051709115505218506,-0.2484358251094818,0.03159348666667938,0.12971612811088562,0.24411390721797943,0.16507303714752197,0.02124350145459175,0.011115770787000656,-0.08621224761009216,0.02964942902326584,-0.1800462156534195,0.051467109471559525,0.19260680675506592,0.11075811833143234,0.015469350852072239,0.009123707190155983,-0.10474233329296112,0.0030745984986424446,0.1457836925983429,-0.1065942645072937,0.033869367092847824,0.05475836247205734,0.0063964929431676865,-0.0023814914748072624,-0.10009532421827316,0.2926669120788574,0.11265505850315094,-0.11819333583116531,-0.11822350323200226,0.16875769197940826,-0.09978111833333969,-0.15548795461654663,0.045722417533397675,-0.19912512600421906,-0.12221657484769821,-0.3349083364009857,-0.027989642694592476,0.39491593837738037,0.018570855259895325,-0.2037070244550705,0.10299321264028549,-0.03939605504274368,-0.015214549377560616,-0.028199004009366035,0.16415369510650635,-0.12206825613975525,0.06336755305528641,-0.03791188448667526,0.06268966197967529,0.2561455965042114,0.008584256283938885,-0.01249465998262167,0.21500074863433838,-0.0010069683194160461,0.01752961240708828,0.023269236087799072,-0.02478490211069584,-0.026788800954818726,-0.0435955636203289,-0.2247714251279831,-0.06837999820709229,-0.08425211161375046,-0.026191268116235733,-0.12759044766426086,0.15238317847251892,-0.23215223848819733,0.09894892573356628,0.013175847940146923,-0.0722280964255333,-0.019712619483470917,0.14131802320480347,-0.07530269771814346,-0.12470060586929321,0.14702846109867096,-0.1807129979133606,0.13219811022281647,0.18078534305095673,0.10028582066297531,0.13201837241649628,0.12886352837085724,0.12459985166788101,-0.008052349090576172,-0.02540387399494648,-0.1295452117919922,-0.033177122473716736,0.14040304720401764,-0.11261219531297684,0.06242723390460014,0.07169925421476364
6,Amandla Sternburg,-0.14470481872558594,0.07348375767469406,0.12723563611507416,-0.12128182500600815,-0.10968487709760666,-0.09226022660732269,-0.07141701132059097,-0.12038003653287888,0.14067015051841736,-0.09462904185056686,0.21273083984851837,-0.04973893240094185,-0.1435442417860031,-0.0683823749423027,-0.03465970978140831,0.20273533463478088,-0.1672421097755432,-0.19243790209293365,-0.024259641766548157,-0.05619074031710625,0.024333307519555092,0.008769601583480835,-0.011782844550907612,0.1113201230764389,-0.20291608572006226,-0.3084733188152313,-0.09667021036148071,-0.0740506500005722,-0.09185433387756348,-0.033322252333164215,0.01636558026075363,0.2070649266242981,-0.21653969585895538,-0.003802405670285225,-0.009866838343441486,0.11887498944997787,0.07304389774799347,-0.024659592658281326,0.06553719937801361,0.06744999438524246,-0.2570001184940338,-0.027782095596194267,0.10426991432905197,0.23038209974765778,0.1680106222629547,-0.021976366639137268,0.040346659719944,-0.04694320261478424,0.04193452373147011,-0.17942850291728973,0.0026634521782398224,0.12436044216156006,0.11365477740764618,0.0252884142100811,0.02989868074655533,-0.1480759084224701,0.01729554682970047,0.08981593698263168,-0.09934345632791519,0.00919350702315569,-0.007780520711094141,-0.051884714514017105,-0.03412122279405594,-0.10253241658210754,0.2595803737640381,0.15993641316890717,-0.1226770430803299,-0.06981409341096878,0.1701112687587738,-0.07003885507583618,-0.1432192325592041,0.05462228134274483,-0.18715251982212067,-0.12360591441392899,-0.34603893756866455,-0.033933356404304504,0.35512247681617737,0.052757930010557175,-0.27050673961639404,0.030597606673836708,-0.07704177498817444,0.01720239594578743,-0.011238410137593746,0.16683480143547058,-0.08635011315345764,0.09772178530693054,-0.05650705471634865,0.004674647934734821,0.23259711265563965,0.018877360969781876,-0.011032186448574066,0.22558440268039703,0.006143939681351185,0.04713716357946396,0.01538991741836071,-0.007559069432318211,-0.034155987203121185,-0.060040898621082306,-0.1697772592306137,-0.09145941585302353,-0.03252995014190674,0.002636729273945093,-0.10740651190280914,0.145754873752594,-0.21143516898155212,0.10833720862865448,0.07156606763601303,-0.024235917255282402,-0.06171904131770134,0.10225359350442886,-0.019835971295833588,-0.0889686718583107,0.11813145875930786,-0.14041222631931305,0.11042170226573944,0.19737455248832703,0.024969058111310005,0.1098429411649704,0.09980607032775879,0.0662117674946785,-0.05769301950931549,-0.04503171518445015,-0.07815942168235779,-0.007614903151988983,0.14434008300304413,-0.12618225812911987,0.04243730753660202,0.03522419556975365
7,Ann,-0.17981813848018646,0.07463587820529938,0.11545085161924362,0.010688860900700092,-0.08804037421941757,-0.1069607362151146,0.05534251406788826,-0.09441956877708435,0.19533680379390717,-0.12390968948602676,0.251592218875885,0.017328819260001183,-0.13902941346168518,-0.05631250888109207,0.019826345145702362,0.13128329813480377,-0.17383719980716705,-0.149953693151474,-0.07939185202121735,-0.12591850757598877,0.012608414515852928,0.05352846533060074,-0.015688830986618996,0.055224597454071045,-0.06650688499212265,-0.2982937693595886,-0.13233819603919983,-0.10658913850784302,0.070677250623703,-0.03231346979737282,0.04112708196043968,0.09465950727462769,-0.2016887366771698,-0.03676355630159378,-0.03107048198580742,0.003650474362075329,0.010612093843519688,-0.014455849304795265,0.16098180413246155,-0.00047849956899881363,-0.17699290812015533,-0.14186987280845642,0.032742321491241455,0.29302793741226196,0.21393916010856628,-0.01981029100716114,-0.04356915131211281,-0.008678305894136429,0.0056015425361692905,-0.20398873090744019,-0.01792861334979534,0.13405440747737885,0.10806634277105331,0.04210588335990906,-0.03560010343790054,-0.16429205238819122,-0.05576267093420029,-0.022201359272003174,-0.18807312846183777,0.0032471397425979376,0.004235721658915281,-0.17532341182231903,-0.14292606711387634,-0.06400982290506363,0.2894199788570404,0.11600837856531143,-0.09966928511857986,-0.16213980317115784,0.2744048535823822,-0.1976691335439682,-0.010720774531364441,0.11732181161642075,-0.1692991852760315,-0.14918458461761475,-0.2751026153564453,0.010671336203813553,0.4372698962688446,0.05264991521835327,-0.14583061635494232,0.022290896624326706,-0.2065972536802292,0.008321858942508698,-0.027237070724368095,0.0786944031715393,-0.05056726932525635,0.04820910841226578,-0.11056331545114517,0.04673684760928154,0.17521421611309052,-0.06804151087999344,-0.0809212401509285,0.19781078398227692,0.0026645297184586525,-0.03625928983092308,0.047360509634017944,-0.010820897296071053,0.03640366345643997,-0.08547870814800262,-0.18573296070098877,-0.06801556795835495,-0.001296689733862877,-0.07603254914283752,-0.044576264917850494,0.10557740926742554,-0.15926490724086761,0.12864536046981812,0.08996814489364624,-0.03398919478058815,-0.03609180822968483,0.001159774255938828,-0.1415276825428009,-0.12363698333501816,0.20643910765647888,-0.18109726905822754,0.16159096360206604,0.16241377592086792,0.026104416698217392,0.20135599374771118,-0.011940868571400642,0.13594691455364227,-0.10314465314149857,-0.08622706681489944,-0.09666229784488678,-0.0052289096638560295,0.04785804823040962,-0.03618922829627991,0.032869674265384674,0.03873233124613762
8,Ann,-0.17611338198184967,0.028292488306760788,0.0434844009578228,0.004481310024857521,-0.049729373306035995,-0.12847089767456055,0.06666866689920425,-0.07100433856248856,0.20841547846794128,-0.1454625427722931,0.239737406373024,-0.024161264300346375,-0.1314033567905426,-0.07064546644687653,0.05200054123997688,0.1345730572938919,-0.1997629851102829,-0.19171594083309174,-0.0662892758846283,-0.11357775330543518,0.01646147295832634,0.025241997092962265,-0.0525682270526886,0.13416293263435364,-0.09738610684871674,-0.2569052577018738,-0.10558705031871796,-0.14462698996067047,0.06703661382198334,-0.04952264204621315,0.03906013444066048,0.10673859715461731,-0.22714897990226746,-0.041927531361579895,-0.003683991264551878,0.023419901728630066,0.025094274431467056,-0.05036196857690811,0.2041502296924591,-0.016185365617275238,-0.1914231926202774,-0.1273329108953476,0.02577795460820198,0.2749369740486145,0.15799155831336975,-0.025138916447758675,-0.05760067328810692,-0.008059055544435978,0.02513556182384491,-0.22238273918628693,-0.015542330220341682,0.15225009620189667,0.13736851513385773,0.05763809010386467,-0.05399164929986,-0.21189773082733154,-0.011441602371633053,0.00633270014077425,-0.21250668168067932,0.023279283195734024,0.017774470150470734,-0.16919435560703278,-0.09500721096992493,-0.03132219612598419,0.3025586009025574,0.13385561108589172,-0.10876381397247314,-0.16834481060504913,0.2839549481868744,-0.19060629606246948,-0.0035868422128260136,0.153935045003891,-0.12947501242160797,-0.18106406927108765,-0.22215725481510162,0.015929389744997025,0.38655799627304077,0.08166985213756561,-0.1622667908668518,0.02776297926902771,-0.2129266858100891,0.02620941773056984,0.0016865830402821302,0.08550260961055756,-0.02772250771522522,-0.006426576524972916,-0.11640393733978271,0.026444684714078903,0.18301638960838318,-0.011276394128799438,-0.06689997762441635,0.184795081615448,0.0036706458777189255,-0.05588916689157486,0.03414538502693176,-0.02263084053993225,0.026575058698654175,-0.04979471117258072,-0.12300139665603638,-0.016164707019925117,-0.003054729662835598,-0.04839230328798294,-0.0487966351211071,0.1244448870420456,-0.15144994854927063,0.11445756256580353,0.058646414428949356,-0.04501930624246597,-0.041313640773296356,0.04610869288444519,-0.11293573677539825,-0.106378473341465,0.14476507902145386,-0.23753315210342407,0.19933483004570007,0.1329626739025116,0.023224957287311554,0.20841777324676514,-0.0400729663670063,0.1481277346611023,-0.07577751576900482,-0.11743464320898056,-0.16699735820293427,-0.02418631874024868,0.06479166448116302,-0.025039058178663254,0.036004289984703064,0.02748570404946804
9,Ann,-0.20906037092208862,0.08412693440914154,0.05103861540555954,-0.028845900669693947,-0.08958570659160614,-0.11393783986568451,0.0455111488699913,-0.1370440423488617,0.19424444437026978,-0.08623853325843811,0.2716553807258606,-0.044783685356378555,-0.1705227494239807,-0.0836014598608017,-0.0012569059617817402,0.1322259157896042,-0.21896731853485107,-0.1411147266626358,-0.06518476456403732,-0.12007799744606018,0.01198967918753624,0.04430772736668587,-0.00739568704739213,0.08441020548343658,-0.10584697872400284,-0.3149600625038147,-0.1283062994480133,-0.1447414755821228,0.06239974871277809,-0.09003628045320511,0.06949728727340698,0.1430606245994568,-0.22013401985168457,-0.039729855954647064,-0.01642495021224022,0.057538483291864395,0.04080680385231972,-0.015666667371988297,0.1718941181898117,-0.011158590205013752,-0.20447805523872375,-0.15364821255207062,0.053201742470264435,0.31160664558410645,0.18379920721054077,-0.048608846962451935,-0.07205439358949661,0.01065952330827713,-0.021595118567347527,-0.15580767393112183,-0.012758897617459297,0.1424877792596817,0.09582459181547165,0.042950645089149475,-0.04272112250328064,-0.2067907750606537,-0.0609765499830246,-0.004322477616369724,-0.18328912556171417,-0.06424873322248459,0.008065680973231792,-0.1531520038843155,-0.13443207740783691,-0.06492672115564346,0.27742114663124084,0.12026701867580414,-0.10899398475885391,-0.14995597302913666,0.29829660058021545,-0.16526669263839722,-0.006918678991496563,0.10972586274147034,-0.17178282141685486,-0.13509203493595123,-0.2748472988605499,-0.030311962589621544,0.3945559561252594,0.017532803118228912,-0.17021581530570984,0.011808168143033981,-0.2255556285381317,-0.0261821486055851,-0.06098596379160881,0.08052658289670944,-0.022279253229498863,0.08759414404630661,-0.08953928202390671,0.05704110115766525,0.14263075590133667,-0.041002288460731506,-0.050266727805137634,0.20328828692436218,-0.00911088939756155,-0.05059463158249855,0.05132497102022171,-0.0141011793166399,0.015661919489502907,-0.07821528613567352,-0.17441968619823456,-0.06132218986749649,-0.007305326871573925,-0.086546391248703,-0.07260329276323318,0.14303340017795563,-0.2135733962059021,0.15760521590709686,0.15676945447921753,-0.04188917949795723,-0.052687209099531174,0.004268013872206211,-0.07537877559661865,-0.09598148614168167,0.2249871790409088,-0.23663026094436646,0.1859445422887802,0.17851386964321136,0.033547114580869675,0.21391525864601135,-0.03138840198516846,0.09996825456619263,-0.09270565956830978,-0.10767119377851486,-0.15364906191825867,-0.014084281399846077,0.031333815306425095,-0.06353370100259781,-0.008362923748791218,0.04985344409942627
10,Ann,-0.21826863288879395,0.10461075603961945,0.09538216888904572,0.009261496365070343,-0.059326693415641785,-0.09505584090948105,0.07858773320913315,-0.059980135411024094,0.15963800251483917,-0.051979538053274155,0.22472117841243744,0.003103705123066902,-0.17246539890766144,-0.10456176102161407,0.06691545993089676,0.1564275324344635,-0.19921596348285675,-0.19344112277030945,-0.05843460559844971,-0.14174100756645203,0.002243424067273736,0.03459184989333153,-0.04701631888747215,0.12381912022829056,-0.09758520871400833,-0.23353281617164612,-0.07843180000782013,-0.18039384484291077,0.035564739257097244,-0.06567247211933136,0.05990196764469147,0.06957593560218811,-0.22806815803050995,-0.021695414558053017,-0.03178175538778305,0.020215364173054695,0.04301057383418083,0.00012436695396900177,0.1513446718454361,-0.007410089951008558,-0.1780727505683899,-0.08219417929649353,0.014459770172834396,0.28769001364707947,0.20526531338691711,-0.013763027265667915,-0.047869954258203506,0.0027083270251750946,0.0019249143078923225,-0.20847782492637634,0.0013779271394014359,0.14417068660259247,0.08741173148155212,0.06306900084018707,-0.06444248557090759,-0.19943971931934357,-0.0488840751349926,-0.0017002075910568237,-0.19949884712696075,0.02086017280817032,0.026183784008026123,-0.17730927467346191,-0.10507151484489441,-0.03728486970067024,0.2970215380191803,0.1151023805141449,-0.11474000662565231,-0.14386864006519318,0.28854596614837646,-0.1803714483976364,-0.03618745505809784,0.1361178755760193,-0.12379385530948639,-0.12939146161079407,-0.24771851301193237,0.08951780200004578,0.39065563678741455,0.07357306778430939,-0.198613703250885,0.0015727942809462547,-0.22049781680107117,0.055952753871679306,-0.020821360871195793,0.09219224005937576,-0.03582826629281044,0.0025752922520041466,-0.12142981588840485,0.012292020954191685,0.15280243754386902,-0.0031307125464081764,-0.031003132462501526,0.2201862633228302,0.028803372755646706,-0.05307898670434952,0.04933116212487221,0.0045356848277151585,0.04602506384253502,-0.07364960759878159,-0.1421121060848236,-0.053247760981321335,-0.02484617754817009,-0.07116669416427612,-0.04218112677335739,0.11514873802661896,-0.1490813046693802,0.1174778938293457,0.08121607452630997,-0.03165993094444275,-0.0874447301030159,0.059204038232564926,-0.06518155336380005,-0.09422366321086884,0.16134048998355865,-0.2164776772260666,0.21663227677345276,0.1601950079202652,0.005451482255011797,0.18018946051597595,-0.03132954612374306,0.16740065813064575,-0.10552427172660828,-0.1295519769191742,-0.11624923348426819,-0.017273448407649994,0.08395462483167648,-0.028380030766129494,0.028519559651613235,0.06563292443752289
